parent_cycle_start,entry_area,path_prefix,indirect_count,direct_count,direct_bytes
433,432,/data/commitments,0,11,451
442,439,/data/delegates_with_frozen_balance,169,6,246
443,431,/data/delegates,1,7,287
437,428,/data/v1,0,2,21
439,432,/data/contracts,753,50887,1220509
429,428,/,3,2,62
434,431,/data/delegates,1,7,287
445,437,/data/big_maps,121100,459762,24601578
441,438,/data/delegates_with_frozen_balance,157,5,205
441,439,/data/votes,40,0,0
438,428,/data/rolls,0,259011,1873998
438,434,/data/rolls,0,4353,25733
445,441,/data/big_maps,208475,956094,53189877
444,441,/data/delegates,2,24,984
445,436,/data/delegates,1,14,574
436,429,/data/commitments,0,42,1722
442,434,/data/cycle,0,1,3
442,440,/data/cycle,0,6,72
440,435,/data/contracts,688,75687,1844340
432,428,/data/rolls,0,278453,1986917
430,428,multiple,268,0,0
444,428,multiple,139,0,0
434,429,/data/cycle,0,3,36
440,435,/data/big_maps,208595,775427,40215013
436,429,/data/rolls,0,8768,51613
432,431,/,3,2,62
443,439,/data/rolls,0,6162,36357
440,439,/data,1,17,231
444,442,/data/delegates,0,13,533
441,431,/data/contracts,750,49967,1173748
444,436,/data/commitments,0,19,779
443,439,/data/active_delegates_with_rolls,37,3,123
443,442,/data/votes,352,22,770
440,433,/data/contracts,758,50679,1199465
437,428,/data/delegates,358,2149,88109
437,431,/data/delegates,1,7,287
440,429,/data/commitments,0,42,1722
443,440,/data/delegates_with_frozen_balance,177,8,328
442,440,/data/delegates_with_frozen_balance,177,8,328
441,438,/data/votes,14,0,0
439,434,/data/big_maps,157328,634507,34087865
439,434,/data/contracts,738,65179,1573311
442,431,/data/active_delegates_with_rolls,3,0,0
443,436,/data/delegates,1,14,574
431,430,/data/active_delegates_with_rolls,38,4,164
438,436,/data/contracts,1484,148151,3613551
444,443,/data/big_maps,385625,2583972,156407067
440,431,/data/commitments,0,32,1312
440,436,/data/big_maps,205211,929986,51059730
439,437,/data/commitments,0,6,246
437,431,/data/active_delegates_with_rolls,3,0,0
429,428,/data/rolls,0,290541,2058226
441,433,/data/commitments,0,14,574
443,442,/data/commitments,0,7,287
442,438,/data/votes,3,0,0
438,437,/data/active_delegates_with_rolls,90,6,246
432,428,/data/delegates,369,2190,89790
432,429,/data/delegates,1,4,164
439,432,/data/delegates,0,2,82
438,433,/data/contracts,851,60087,1437447
