parent_cycle_start,entry_area,path,kind,node_length,contents_size,count,bytes,indirect_count,direct_count,direct_bytes
437,432,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_2049_16384","Na",4411,984278,14098,8880,577200
439,434,/data/big_maps/*/*/*,"Inode_root_tree","Nl_2049_16384","Na",2,720,0,0,0
440,439,/data/rolls/*/*/*/*/*,"Contents","Na","Cs_32_127",28,1876,0,0,0
440,439,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_32_127",105842,11865299,0,0,0
440,439,/data/contracts/*/*/*/*,"Contents","Na","Cs_32_127",1455,157035,0,0,0
437,428,/data/big_maps/*/*/*,"Contents","Na","Cs_512_plus",4,3036,0,0,0
432,428,/data/contracts/*,"Inode_nonroot_tree","Nl_16385_plus","Na",284,84746,0,0,0
442,438,/data/commitments,"Inode_nonroot_values","Nl_2049_16384","Na",9,2482,0,43,1763
438,430,/data/contracts/*/*/*/*,"Contents","Na","Cs_0_31",5,226,0,0,0
438,430,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_0_31",21611,1112640,0,0,0
441,439,/data/delegates_with_frozen_balance/*/*,"Inode_root_values","Nl_0_32","Na",1,395,28,1,41
435,434,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_32_127",95515,10355032,0,0,0
435,434,/data/contracts/*/*/*/*,"Contents","Na","Cs_32_127",1281,139158,0,0,0
443,429,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_16385_plus","Na",39787,12943709,1972,154816,10063040
440,434,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_257_2048","Na",2776,566496,5386,5455,354575
437,434,/data/rolls/*/*/*/*,"Inode_nonroot_tree","Multiple","Na",174,58256,0,0,0
433,430,/data/rolls/*/*,"Inode_root_values","Nl_0_32","Na",24,1320,0,24,240
441,432,/data/contracts/*/*/*,"Inode_root_values","Nl_0_32","Na",768,52422,0,1551,10813
440,429,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_257_2048","Na",321,94529,0,1534,69030
442,433,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_33_256","Na",12,3412,0,55,2475
441,433,/data/big_maps/*/*/*,"Inode_root_tree","Nl_33_256","Na",65,19674,0,0,0
443,431,/data/contracts/*/*/*,"Inode_root_values","Nl_0_32","Na",814,54561,0,1627,10614
442,440,/data/delegates_with_frozen_balance/*/*,"Inode_root_values","Nl_0_32","Na",1,395,28,1,41
441,430,/data/commitments,"Inode_nonroot_values","Nl_2049_16384","Na",2,524,0,9,369
438,433,/data/contracts/*/*/*,"Inode_nonroot_tree","Nl_16385_plus","Na",71,20729,0,0,0
442,431,/data/big_maps/*/*/*/*,"Inode_root_values","Nl_0_32","Na",98350,5802650,98350,98350,393400
443,432,/data/rolls/*/*/*/*,"Inode_nonroot_values","Multiple","Na",1978,169678,0,6610,38976
438,436,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_16385_plus","Na",207352,118004686,25298,1487226,96669690
438,432,/data/contracts/*/*/*,"Inode_nonroot_tree","Nl_2049_16384","Na",9,3105,0,0,0
437,428,/data/commitments,"Inode_nonroot_values","Nl_2049_16384","Na",983,264011,0,4556,186796
432,431,/data/delegates_with_frozen_balance/*,"Inode_root_values","Nl_0_32","Na",2,138,6,0,0
443,440,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_2049_16384","Na",4936,1710120,17094,17933,1165645
443,435,/data/rolls/*/*/*,"Inode_root_values","Nl_0_32","Na",1,47,0,1,2
441,428,/data/delegates/*,"Inode_nonroot_values","Nl_33_256","Na",24,1922,28,15,615
440,430,/data/commitments,"Inode_nonroot_tree","Nl_2049_16384","Na",1,360,0,0,0
435,432,/data/contracts/*/*,"Inode_root_values","Nl_0_32","Na",11696,1078713,1027,37837,306837
442,439,/data/contracts/*/*/*,"Contents","Na","Cs_0_31",24584,984266,0,0,0
